,buys,sells,winners,losers
35,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_3d', 'higher_highs_4d', 'lower_lows_4d')",2,1
36,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_3d', 'higher_highs_4d', 'placeholder_1')",41,17
37,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_3d', 'lower_lows_3d', 'lower_lows_4d')",19,3
38,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_3d', 'lower_lows_3d', 'placeholder_1')",36,10
39,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_3d', 'lower_lows_4d', 'placeholder_1')",19,3
40,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_3d', 'placeholder_1', 'placeholder_2')",38,21
41,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_4d', 'lower_lows_3d', 'lower_lows_4d')",2,1
42,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_4d', 'lower_lows_3d', 'placeholder_1')",24,7
43,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_4d', 'lower_lows_4d', 'placeholder_1')",2,1
44,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('higher_highs_4d', 'placeholder_1', 'placeholder_2')",41,17
45,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('lower_lows_3d', 'lower_lows_4d', 'placeholder_1')",30,29
46,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('lower_lows_3d', 'placeholder_1', 'placeholder_2')",31,28
47,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')","('lower_lows_4d', 'placeholder_1', 'placeholder_2')",30,29
48,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'higher_highs_4d')",13,8
49,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_3d')",2,3
50,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_3d', 'placeholder_1')",14,8
51,"('macd_bearish_divergence_30d', 'higher_highs_3d', 'lower_lows_4d')","('macd_bearish_divergence_30d', 'higher_highs_4d', 'lower_lows_3d')",2,1
