,buys,sells,winners,losers
0,"('eps_growing',)","('eps_falling',)",1035,470
1,"('eps_growing',)","('good_fundamentals',)",9119,8029
2,"('eps_growing',)","('market_cap_filter',)",10294,9384
3,"('eps_growing',)","('rsi_bins_20_cross_up',)",1563,10622
4,"('eps_growing',)","('rsi_bins_20_cross_down',)",1388,10959
5,"('eps_growing',)","('rsi_bins_30_cross_up',)",6118,11033
6,"('eps_growing',)","('rsi_bins_30_cross_down',)",5613,11421
7,"('eps_growing',)","('rsi_bins_40_cross_up',)",7934,10488
8,"('eps_growing',)","('rsi_bins_40_cross_down',)",6190,12082
9,"('eps_growing',)","('rsi_bins_50_cross_up',)",11188,8033
10,"('eps_growing',)","('rsi_bins_50_cross_down',)",8408,10812
11,"('eps_growing',)","('rsi_bins_60_cross_up',)",14474,4684
12,"('eps_growing',)","('rsi_bins_60_cross_down',)",11689,7563
13,"('eps_growing',)","('rsi_bins_70_cross_up',)",14357,3518
14,"('eps_growing',)","('rsi_bins_70_cross_down',)",13500,4468
15,"('eps_growing',)","('rsi_bins_80_cross_up',)",8183,1565
16,"('eps_growing',)","('rsi_bins_80_cross_down',)",8089,1730
17,"('eps_growing',)","('rsi_bins_90_cross_up',)",456,1
18,"('eps_growing',)","('rsi_bins_90_cross_down',)",457,5
19,"('eps_growing',)","('rsi_bins_cross_up_35_avg',)",12488,6953
20,"('eps_growing',)","('rsi_bins_cross_down_35_avg',)",9028,10500
21,"('eps_growing',)","('rsi_bins_cross_up_35_avg_plus_std1',)",13824,5492
22,"('eps_growing',)","('rsi_bins_cross_down_35_avg_plus_std1',)",10785,8615
23,"('eps_growing',)","('rsi_bins_cross_up_35_avg_minus_std1',)",10524,8770
24,"('eps_growing',)","('rsi_bins_cross_down_35_avg_minus_std1',)",7668,11744
25,"('eps_growing',)","('rsi_bins_cross_up_35_avg_plus_std2',)",12208,6500
26,"('eps_growing',)","('rsi_bins_cross_down_35_avg_plus_std2',)",9129,8064
27,"('eps_growing',)","('rsi_bins_cross_up_35_avg_minus_std2',)",9283,7800
