max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv_6,mv_0
-0.1,-0.1,0.2,0.1,0.025,10,2016-01-01,2020-09-01,7118.0,8077.0
-0.1,-0.1,0.2,0.1,0.025,15,2016-01-01,2020-09-01,5418.0,8389.0
-0.1,-0.1,0.2,0.1,0.025,20,2016-01-01,2020-09-01,7023.0,8844.0
-0.1,-0.1,0.2,0.1,0.05,10,2016-01-01,2020-09-01,9032.0,7677.0
-0.1,-0.1,0.2,0.1,0.05,15,2016-01-01,2020-09-01,9032.0,8319.0
-0.1,-0.1,0.2,0.1,0.05,20,2016-01-01,2020-09-01,8045.0,7825.0
-0.1,-0.1,0.2,0.2,0.01,10,2016-01-01,2020-09-01,6524.0,6589.0
-0.1,-0.1,0.2,0.2,0.01,15,2016-01-01,2020-09-01,4858.0,5631.0
-0.1,-0.1,0.2,0.2,0.01,20,2016-01-01,2020-09-01,5199.0,6306.0
-0.1,-0.1,0.2,0.2,0.025,10,2016-01-01,2020-09-01,7116.0,8046.0
-0.1,-0.1,0.2,0.2,0.025,15,2016-01-01,2020-09-01,4805.0,8384.0
-0.1,-0.1,0.2,0.2,0.025,20,2016-01-01,2020-09-01,7144.0,8591.0
-0.1,-0.1,0.2,0.2,0.05,10,2016-01-01,2020-09-01,9355.0,7898.0
-0.1,-0.1,0.2,0.2,0.05,15,2016-01-01,2020-09-01,8058.0,8346.0
-0.1,-0.1,0.2,0.2,0.05,20,2016-01-01,2020-09-01,8220.0,7800.0
-0.1,-0.1,0.2,0.3,0.01,10,2016-01-01,2020-09-01,6521.0,6575.0
-0.1,-0.1,0.2,0.3,0.01,15,2016-01-01,2020-09-01,4856.0,5630.0
-0.1,-0.1,0.2,0.3,0.01,20,2016-01-01,2020-09-01,5164.0,6308.0
-0.1,-0.1,0.2,0.3,0.025,10,2016-01-01,2020-09-01,7086.0,8062.0
-0.1,-0.1,0.2,0.3,0.025,15,2016-01-01,2020-09-01,4868.0,8440.0
-0.1,-0.1,0.2,0.3,0.025,20,2016-01-01,2020-09-01,7287.0,9067.0
-0.1,-0.1,0.2,0.3,0.05,10,2016-01-01,2020-09-01,7940.0,8098.0
-0.1,-0.1,0.2,0.3,0.05,15,2016-01-01,2020-09-01,7996.0,8482.0
-0.1,-0.1,0.2,0.3,0.05,20,2016-01-01,2020-09-01,8193.0,8513.0
-0.1,-0.05,0.3,0.1,0.01,10,2016-01-01,2020-09-01,6315.0,6238.0
-0.1,-0.05,0.3,0.1,0.01,15,2016-01-01,2020-09-01,5466.0,5430.0
-0.1,-0.05,0.3,0.1,0.01,20,2016-01-01,2020-09-01,6081.0,5579.0
-0.1,-0.05,0.3,0.1,0.025,10,2016-01-01,2020-09-01,6957.0,8644.0
