max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv
-0.2,-0.1,0.67,0.2,0.025,10,2017-06-30,2018-06-30,5635.0
-0.2,-0.1,0.5,0.2,0.025,10,2017-06-30,2018-06-30,5635.0
-0.2,-0.2,0.5,0.2,0.025,20,2017-06-30,2018-06-30,5629.0
-0.2,-0.2,0.67,0.2,0.025,20,2017-06-30,2018-06-30,5629.0
-0.3,-0.1,0.5,0.1,0.025,20,2017-06-30,2018-06-30,5629.0
-0.3,-0.1,0.67,0.1,0.025,20,2017-06-30,2018-06-30,5629.0
-0.3,-0.2,0.5,0.1,0.025,10,2017-06-30,2018-06-30,5628.0
-0.3,-0.2,0.67,0.1,0.025,10,2017-06-30,2018-06-30,5628.0
-0.2,-0.2,0.3,0.2,0.025,20,2017-06-30,2018-06-30,5627.0
-0.3,-0.2,0.67,0.1,0.025,20,2017-06-30,2018-06-30,5627.0
-0.3,-0.2,0.5,0.1,0.025,20,2017-06-30,2018-06-30,5627.0
-0.2,-0.1,0.5,0.2,0.025,20,2017-06-30,2018-06-30,5625.0
-0.2,-0.1,0.67,0.2,0.025,20,2017-06-30,2018-06-30,5625.0
-0.2,-0.1,0.3,0.1,0.025,20,2017-06-30,2018-06-30,5625.0
-0.2,-0.2,0.67,0.1,0.025,20,2017-06-30,2018-06-30,5623.0
-0.2,-0.2,0.5,0.1,0.025,20,2017-06-30,2018-06-30,5623.0
-0.3,-0.1,0.5,0.2,0.025,20,2017-06-30,2018-06-30,5622.0
-0.3,-0.1,0.67,0.2,0.025,20,2017-06-30,2018-06-30,5622.0
-0.2,-0.1,0.3,0.2,0.025,20,2017-06-30,2018-06-30,5621.0
-0.3,-0.1,0.3,0.2,0.025,10,2017-06-30,2018-06-30,5616.0
-0.2,-0.2,0.3,0.1,0.025,20,2017-06-30,2018-06-30,5615.0
-0.3,-0.1,0.3,0.1,0.025,20,2017-06-30,2018-06-30,5605.0
-0.2,-0.2,0.67,0.2,0.025,10,2017-06-30,2018-06-30,5603.0
-0.3,-0.2,0.3,0.1,0.025,20,2017-06-30,2018-06-30,5603.0
-0.2,-0.2,0.5,0.2,0.025,10,2017-06-30,2018-06-30,5603.0
-0.3,-0.2,0.3,0.2,0.025,10,2017-06-30,2018-06-30,5602.0
-0.2,-0.1,0.3,0.2,0.01,30,2017-06-30,2018-06-30,5598.0
-0.2,-0.1,0.5,0.2,0.01,30,2017-06-30,2018-06-30,5598.0
-0.2,-0.1,0.67,0.2,0.01,30,2017-06-30,2018-06-30,5598.0
-0.3,-0.2,0.3,0.2,0.025,20,2017-06-30,2018-06-30,5596.0
-0.3,-0.2,0.5,0.2,0.025,20,2017-06-30,2018-06-30,5595.0
-0.3,-0.2,0.67,0.2,0.025,20,2017-06-30,2018-06-30,5595.0
-0.2,-0.2,0.3,0.2,0.025,10,2017-06-30,2018-06-30,5593.0
-0.3,-0.1,0.3,0.2,0.025,20,2017-06-30,2018-06-30,5589.0
-0.3,-0.2,0.3,0.2,0.05,10,2017-06-30,2018-06-30,5578.0
-0.2,-0.2,0.67,0.2,0.01,30,2017-06-30,2018-06-30,5572.0
-0.3,-0.2,0.5,0.2,0.01,30,2017-06-30,2018-06-30,5572.0
-0.3,-0.2,0.67,0.2,0.01,30,2017-06-30,2018-06-30,5572.0
-0.2,-0.2,0.3,0.2,0.01,30,2017-06-30,2018-06-30,5572.0
