symbol,description,industry,sector,market_cap
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Real Estate,REIT - Specialty,4.71B
VAC,Marriott Vacations Worldwide Corporation,Consumer Cyclical,Resorts & Casinos,7.68B
JAZZ,Jazz Pharmaceuticals plc,Healthcare,Biotechnology,9.58B
MANU,Manchester United plc,Consumer Cyclical,Leisure,3.37B
LH,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,23.28B
NEA,Nuveen AMT-Free Quality Municipal Income Fund,Financial,Asset Management,4.39B
RYN,Rayonier Inc.,Real Estate,REIT - Specialty,4.66B
SPT,"Sprout Social, Inc.",Technology,Software - Application,3.36B
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,4.20B
CYRX,"Cryoport, Inc.",Industrials,Integrated Freight & Logistics,2.64B
OZK,Bank OZK,Financial,Banks - Regional,5.64B
CTAS,Cintas Corporation,Industrials,Specialty Business Services,37.11B
TMX,"Terminix Global Holdings, Inc.",Consumer Cyclical,Personal Services,6.64B
GMAB,Genmab A/S,Healthcare,Biotechnology,21.91B
NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,24.01B
NSTG,"NanoString Technologies, Inc.",Healthcare,Biotechnology,3.07B
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,17.19B
AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3.37B
NS,NuStar Energy L.P.,Energy,Oil & Gas Midstream,2.15B
DNLI,Denali Therapeutics Inc.,Healthcare,Biotechnology,7.62B
PINC,"Premier, Inc.",Healthcare,Health Information Services,4.13B
KSU,Kansas City Southern,Industrials,Railroads,19.91B
ROP,"Roper Technologies, Inc.",Industrials,Specialty Industrial Machinery,41.13B
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,Biotechnology,7.75B
VNE,"Veoneer, Inc.",Consumer Cyclical,Auto Parts,3.18B
TTD,"The Trade Desk, Inc.",Technology,Software - Application,36.18B
BAND,Bandwidth Inc.,Technology,Software - Infrastructure,3.32B
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,22.83B
SYNH,"Syneos Health, Inc.",Healthcare,Diagnostics & Research,7.94B
ENBL,"Enable Midstream Partners, LP",Energy,Oil & Gas Midstream,3.06B
RXN,Rexnord Corporation,Industrials,Specialty Industrial Machinery,5.97B
AXNX,"Axonics Modulation Technologies, Inc.",Healthcare,Medical Devices,2.32B
TEX,Terex Corporation,Industrials,Farm & Heavy Construction Machinery,3.22B
BSY,"Bentley Systems, Incorporated",Technology,Software - Application,12.02B
ARES,Ares Management Corporation,Financial,Asset Management,14.40B
LPRO,Open Lending Corporation,Financial,Credit Services,5.07B
