symbol,description,industry,sector,market_cap
DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,35.69B
GNTX,Gentex Corporation,Consumer Cyclical,Auto Parts,9.03B
SRPT,"Sarepta Therapeutics, Inc.",Healthcare,Biotechnology,6.88B
OZON,Ozon Holdings PLC,Consumer Cyclical,Internet Retail,11.68B
GBT,"Global Blood Therapeutics, Inc.",Healthcare,Biotechnology,2.79B
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,50.57B
EHC,Encompass Health Corporation,Healthcare,Medical Care Facilities,8.02B
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,3.67B
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,19.80B
WGO,"Winnebago Industries, Inc.",Consumer Cyclical,Recreational Vehicles,2.91B
RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,16.29B
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,19.53B
INCY,Incyte Corporation,Healthcare,Biotechnology,17.84B
HLF,Herbalife Nutrition Ltd.,Consumer Defensive,Packaged Foods,5.57B
YELP,Yelp Inc.,Communication Services,Internet Content & Information,3.22B
DOMO,"Domo, Inc.",Technology,Software - Application,2.13B
HE,"Hawaiian Electric Industries, Inc.",Utilities,Utilities - Regulated Electric,4.36B
PDCE,"PDC Energy, Inc.",Energy,Oil & Gas E&P,4.08B
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,22.52B
FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,5.01B
LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,6.68B
LGF-A,Lions Gate Entertainment Corp.,Communication Services,Entertainment,3.66B
WRI,Weingarten Realty Investors,Real Estate,REIT - Retail,3.51B
AVYA,Avaya Holdings Corp.,Technology,Software - Application,2.71B
PNM,"PNM Resources, Inc.",Utilities,Utilities - Regulated Electric,4.19B
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,36.54B
OSCR,"Oscar Health, Inc.",Healthcare,Healthcare Plans,7.36B
ADSK,"Autodesk, Inc.",Technology,Software - Application,61.43B
ONB,Old National Bancorp,Financial,Banks - Regional,3.32B
VAR,"Varian Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,16.20B
NMIH,"NMI Holdings, Inc.",Financial,Insurance - Property & Casualty,2.12B
SMPL,The Simply Good Foods Company,Consumer Defensive,Packaged Foods,3.30B
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,8.88B
UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,2.25B
BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,16.48B
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,18.62B
ACM,AECOM,Industrials,Engineering & Construction,8.96B
KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense,3.40B
BG,Bunge Limited,Consumer Defensive,Farm Products,11.20B
SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,55.67B
XM,Qualtrics International Inc.,Technology,Software - Application,18.02B
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,REIT - Mortgage,2.02B
NEO,"NeoGenomics, Inc.",Healthcare,Diagnostics & Research,5.72B
TRV,"The Travelers Companies, Inc.",Financial,Insurance - Property & Casualty,39.13B
LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,41.54B
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,16.46B
CRI,"Carter's, Inc.",Consumer Cyclical,Apparel Retail,3.98B
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,10.65B
TRN,"Trinity Industries, Inc.",Industrials,Railroads,3.17B
FSK,FS KKR Capital Corp.,Financial,Asset Management,2.60B
FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,11.11B
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,7.45B
PLTK,Playtika Holding Corp.,Communication Services,Electronic Gaming & Multimedia,11.88B
SNE,Sony Corporation,Technology,Consumer Electronics,129.12B
UGI,UGI Corporation,Utilities,Utilities - Regulated Gas,8.62B
TNDM,"Tandem Diabetes Care, Inc.",Healthcare,Medical Devices,5.57B
AQUA,Evoqua Water Technologies Corp.,Industrials,Pollution & Treatment Controls,3.16B
VMW,"VMware, Inc.",Technology,Software - Infrastructure,62.46B
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,REIT - Diversified,2.61B
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,12.08B
THO,"Thor Industries, Inc.",Consumer Cyclical,Recreational Vehicles,8.01B
PSA,Public Storage,Real Estate,REIT - Industrial,41.64B
CVAC,CureVac N.V.,Healthcare,Biotechnology,17.01B
SCI,Service Corporation International,Consumer Cyclical,Personal Services,8.40B
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,12.12B
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,27.46B
XP,XP Inc.,Financial,Capital Markets,23.03B
WLK,Westlake Chemical Corporation,Basic Materials,Specialty Chemicals,11.76B
EPR,EPR Properties,Real Estate,REIT - Retail,3.71B
RHP,"Ryman Hospitality Properties, Inc.",Real Estate,REIT - Hotel & Motel,4.75B
COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,2.05B
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,31.32B
ORAN,Orange S.A.,Communication Services,Telecom Services,32.60B
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,9.82B
CNNE,"Cannae Holdings, Inc.",Consumer Cyclical,Restaurants,3.79B
ITRI,"Itron, Inc.",Technology,Scientific & Technical Instruments,3.89B
GBDC,"Golub Capital BDC, Inc.",Financial,Asset Management,2.48B
MGA,Magna International Inc.,Consumer Cyclical,Auto Parts,27.25B
FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,10.64B
MAXR,Maxar Technologies Inc.,Technology,Communication Equipment,2.96B
CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,3.83B
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,3.92B
AQN,Algonquin Power & Utilities Corp.,Utilities,Utilities - Renewable,9.59B
HTHT,Huazhu Group Limited,Consumer Cyclical,Lodging,18.12B
PRPL,"Purple Innovation, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",2.11B
ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,9.53B
LESL,"Leslie's, Inc.",Consumer Cyclical,Home Improvement Retail,4.52B
FWONK,Formula One Group,Communication Services,Broadcasting,9.57B
GDS,GDS Holdings Limited,Technology,Software - Infrastructure,17.07B
LSPD,Lightspeed POS Inc.,Technology,Software - Application,8.59B
FR,"First Industrial Realty Trust, Inc.",Real Estate,REIT - Industrial,5.77B
CUZ,Cousins Properties Incorporated,Real Estate,REIT - Office,5.28B
DOYU,DouYu International Holdings Limited,Communication Services,Internet Content & Information,4.50B
BERY,"Berry Global Group, Inc.",Consumer Cyclical,Packaging & Containers,7.87B
CARG,"CarGurus, Inc.",Communication Services,Internet Content & Information,2.97B
LEG,"Leggett & Platt, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",6.42B
MTB,M&T Bank Corporation,Financial,Banks - Regional,19.72B
CADE,Cadence Bancorporation,Financial,Banks - Regional,2.86B
ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,2.26B
AMCX,AMC Networks Inc.,Communication Services,Broadcasting,2.96B
VVV,Valvoline Inc.,Energy,Oil & Gas Refining & Marketing,4.78B
PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,5.61B
FOX,Fox Corporation,Communication Services,Broadcasting,23.54B
NARI,"Inari Medical, Inc.",Healthcare,Medical Devices,6.14B
AY,Atlantica Sustainable Infrastructure plc,Utilities,Utilities - Renewable,4.18B
OC,Owens Corning,Industrials,Building Products & Equipment,9.29B
TENB,"Tenable Holdings, Inc.",Technology,Software - Infrastructure,4.23B
DADA,Dada Nexus Limited,Consumer Cyclical,Internet Retail,7.28B
YEXT,"Yext, Inc.",Technology,Software - Infrastructure,2.01B
NOW,"ServiceNow, Inc.",Technology,Software - Application,100.13B
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,40.14B
EGOV,NIC Inc.,Technology,Software - Application,2.28B
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,62.50B
PCI,PIMCO Dynamic Credit and Mortgage Income Fund,Financial,Closed-End Fund - Debt,3.34B
NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,4.87B
PAGS,PagSeguro Digital Ltd.,Technology,Software - Infrastructure,17.08B
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,11.51B
CCK,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,13.27B
TXG,"10x Genomics, Inc.",Healthcare,Health Information Services,18.97B
BAH,Booz Allen Hamilton Holding Corporation,Industrials,Consulting Services,11.14B
NTLA,"Intellia Therapeutics, Inc.",Healthcare,Biotechnology,4.64B
RLJ,RLJ Lodging Trust,Real Estate,REIT - Hotel & Motel,2.77B
RSG,"Republic Services, Inc.",Industrials,Waste Management,30.48B
REGI,"Renewable Energy Group, Inc.",Energy,Oil & Gas Refining & Marketing,3.19B
SUM,"Summit Materials, Inc.",Basic Materials,Building Materials,3.43B
PD,"PagerDuty, Inc.",Technology,Software - Application,3.42B
LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,19.03B
CSOD,"Cornerstone OnDemand, Inc.",Technology,Software - Application,3.16B
POR,Portland General Electric Company,Utilities,Utilities - Regulated Electric,4.19B
UPWK,Upwork Inc.,Industrials,Staffing & Employment Services,6.09B
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,5.85B
VSH,"Vishay Intertechnology, Inc.",Technology,Semiconductors,3.59B
AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,26.76B
MWA,"Mueller Water Products, Inc.",Industrials,Specialty Industrial Machinery,2.19B
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,19.04B
NSC,Norfolk Southern Corporation,Industrials,Railroads,65.39B
VNET,"21Vianet Group, Inc.",Technology,Information Technology Services,4.88B
MCK,McKesson Corporation,Healthcare,Medical Distribution,29.35B
LBRDK,Liberty Broadband Corporation,Communication Services,Entertainment,25.69B
BHF,"Brighthouse Financial, Inc.",Financial,Insurance - Life,3.96B
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,13.03B
EQX,Equinox Gold Corp.,Basic Materials,Gold,2.06B
PLAY,"Dave & Buster's Entertainment, Inc.",Consumer Cyclical,Restaurants,2.16B
RDFN,Redfin Corporation,Real Estate,Real Estate Services,7.94B
BIG,"Big Lots, Inc.",Consumer Defensive,Discount Stores,2.53B
CG,The Carlyle Group Inc.,Financial,Asset Management,13.31B
WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty,13.56B
OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,2.71B
REXR,"Rexford Industrial Realty, Inc.",Real Estate,REIT - Industrial,6.46B
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,21.71B
QGEN,QIAGEN N.V.,Healthcare,Diagnostics & Research,11.40B
CNO,"CNO Financial Group, Inc.",Financial,Insurance - Life,3.56B
SAIL,"SailPoint Technologies Holdings, Inc.",Technology,Software - Infrastructure,5.04B
ST,Sensata Technologies Holding plc,Technology,Scientific & Technical Instruments,9.91B
TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management,39.64B
VGR,Vector Group Ltd.,Consumer Defensive,Tobacco,2.31B
YY,JOYY Inc.,Communication Services,Internet Content & Information,10.16B
XEC,Cimarex Energy Co.,Energy,Oil & Gas E&P,6.87B
TT,Trane Technologies plc,Industrials,Specialty Industrial Machinery,39.87B
LPSN,"LivePerson, Inc.",Technology,Software - Application,4.02B
KBH,KB Home,Consumer Cyclical,Residential Construction,4.22B
ACC,"American Campus Communities, Inc.",Real Estate,REIT - Residential,5.94B
LAMR,Lamar Advertising Company (REIT),Real Estate,REIT - Specialty,9.88B
QRVO,"Qorvo, Inc.",Technology,Semiconductors,20.47B
CREE,"Cree, Inc.",Technology,Semiconductors,12.57B
REG,Regency Centers Corporation,Real Estate,REIT - Retail,9.99B
AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,3.66B
CVET,"Covetrus, Inc.",Healthcare,Health Information Services,4.66B
BEPC,Brookfield Renewable Corporation,Utilities,Utilities - Renewable,16.75B
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,78.25B
FGEN,"FibroGen, Inc.",Healthcare,Biotechnology,3.13B
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,49.55B
CCEP,Coca-Cola European Partners plc,Consumer Defensive,Beverages - Non-Alcoholic,23.91B
TPH,"Tri Pointe Homes, Inc.",Consumer Cyclical,Residential Construction,2.50B
RELX,RELX PLC,Communication Services,Publishing,46.61B
CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,5.79B
PRMW,Primo Water Corporation,Consumer Defensive,Beverages - Non-Alcoholic,2.63B
CWEN,"Clearway Energy, Inc.",Utilities,Utilities - Renewable,2.35B
SWI,SolarWinds Corporation,Technology,Software - Infrastructure,5.46B
RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,Specialty Business Services,6.26B
ACCD,"Accolade, Inc.",Healthcare,Health Information Services,2.74B
SDGR,"Schrodinger, Inc.",Healthcare,Health Information Services,5.65B
AVA,Avista Corporation,Utilities,Utilities - Diversified,3.13B
DAN,Dana Incorporated,Consumer Cyclical,Auto Parts,3.75B
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,14.46B
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,32.97B
LBTYA,Liberty Global plc,Communication Services,Entertainment,14.80B
RHI,Robert Half International Inc.,Industrials,Staffing & Employment Services,8.65B
PRSP,Perspecta Inc.,Technology,Information Technology Services,4.68B
WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,12.06B
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,17.31B
ENLC,"EnLink Midstream, LLC",Energy,Oil & Gas Midstream,2.43B
CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,2.30B
TEAM,Atlassian Corporation Plc,Technology,Software - Application,60.86B
FL,"Foot Locker, Inc.",Consumer Cyclical,Footwear & Accessories,6.04B
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,9.53B
POSH,"Poshmark, Inc.",Consumer Cyclical,Internet Retail,4.45B
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,31.20B
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,28.39B
UE,Urban Edge Properties,Real Estate,REIT - Diversified,2.05B
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,69.94B
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,21.41B
IPHI,Inphi Corporation,Technology,Semiconductors,8.83B
JW-A,"John Wiley & Sons, Inc.",Communication Services,Publishing,2.81B
ZEN,"Zendesk, Inc.",Technology,Software - Application,15.93B
SNY,Sanofi,Healthcare,Drug Manufacturers - General,122.13B
BILL,"Bill.com Holdings, Inc.",Technology,Software - Application,12.66B
BLI,"Berkeley Lights, Inc.",Healthcare,Biotechnology,3.57B
IOVA,"Iovance Biotherapeutics, Inc.",Healthcare,Biotechnology,5.26B
PPD,"PPD, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,13.36B
WB,Weibo Corporation,Communication Services,Internet Content & Information,11.71B
ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,2.07B
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,14.34B
YQ,17 Education & Technology Group Inc.,Consumer Defensive,Education & Training Services,2.24B
TXT,Textron Inc.,Industrials,Aerospace & Defense,12.13B
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,10.25B
ZIM,ZIM Integrated Shipping Services Ltd.,Industrials,Marine Shipping,2.88B
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,18.49B
CONE,CyrusOne Inc.,Real Estate,REIT - Specialty,8.18B
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,41.71B
GPN,Global Payments Inc.,Industrials,Specialty Business Services,62.10B
BNS,The Bank of Nova Scotia,Financial,Banks - Diversified,76.08B
HXL,Hexcel Corporation,Industrials,Aerospace & Defense,5.02B
OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,3.97B
ARMK,Aramark,Consumer Cyclical,Restaurants,10.55B
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,27.53B
DXC,DXC Technology Company,Technology,Information Technology Services,7.44B
LBRT,Liberty Oilfield Services Inc.,Energy,Oil & Gas Equipment & Services,2.27B
CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,10.33B
UNVR,Univar Solutions Inc.,Basic Materials,Chemicals,3.63B
SLG,SL Green Realty Corp.,Real Estate,REIT - Office,5.14B
SHAK,Shake Shack Inc.,Consumer Cyclical,Restaurants,5.50B
FNV,Franco-Nevada Corporation,Basic Materials,Gold,23.42B
MD,"MEDNAX, Inc.",Healthcare,Medical Care Facilities,2.39B
CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,121.10B
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,17.14B
SYK,Stryker Corporation,Healthcare,Medical Devices,90.19B
SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,6.97B
SC,Santander Consumer USA Holdings Inc.,Financial,Credit Services,8.41B
NTES,"NetEase, Inc.",Communication Services,Internet Content & Information,74.30B
OLN,Olin Corporation,Basic Materials,Specialty Chemicals,5.33B
THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,6.15B
WMG,Warner Music Group Corp.,Communication Services,Entertainment,17.92B
SCCO,Southern Copper Corporation,Basic Materials,Copper,58.74B
CNI,Canadian National Railway Company,Industrials,Railroads,82.78B
HR,Healthcare Realty Trust Incorporated,Real Estate,REIT - Healthcare Facilities,4.23B
KLIC,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductor Equipment & Materials,3.04B
BTRS,BTRS Holdings Inc.,Technology,Software - Application,2.46B
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,19.85B
SHLX,"Shell Midstream Partners, L.P.",Energy,Oil & Gas Midstream,5.38B
CGNX,Cognex Corporation,Technology,Scientific & Technical Instruments,14.59B
PKI,"PerkinElmer, Inc.",Healthcare,Diagnostics & Research,14.55B
TWNK,"Hostess Brands, Inc.",Consumer Defensive,Packaged Foods,2.06B
TGTX,"TG Therapeutics, Inc.",Healthcare,Biotechnology,6.82B
RAAS,Cloopen Group Holding Limited,Technology,Software - Application,2.84B
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,25.09B
SWX,"Southwest Gas Holdings, Inc.",Utilities,Utilities - Regulated Gas,3.80B
EMN,Eastman Chemical Company,Basic Materials,Chemicals,15.50B
NCR,NCR Corporation,Technology,Information Technology Services,4.97B
ELS,"Equity LifeStyle Properties, Inc.",Real Estate,REIT - Residential,11.47B
CIT,CIT Group Inc.,Financial,Banks - Regional,5.11B
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,16.65B
WIT,Wipro Limited,Technology,Information Technology Services,32.13B
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,10.02B
NIU,Niu Technologies,Consumer Cyclical,Auto Manufacturers,2.61B
EXAS,Exact Sciences Corporation,Healthcare,Diagnostics & Research,22.43B
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,37.36B
NTRS,Northern Trust Corporation,Financial,Asset Management,21.65B
EDIT,"Editas Medicine, Inc.",Healthcare,Biotechnology,3.30B
EGHT,"8x8, Inc.",Technology,Software - Application,3.71B
ZI,ZoomInfo Technologies Inc.,Technology,Software - Application,18.81B
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,10.44B
XPO,"XPO Logistics, Inc.",Industrials,Integrated Freight & Logistics,12.80B
FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,7.99B
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,37.92B
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,4.32B
FROG,JFrog Ltd.,Technology,Software - Application,4.62B
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,68.62B
ELY,Callaway Golf Company,Consumer Cyclical,Leisure,2.85B
W,Wayfair Inc.,Consumer Cyclical,Internet Retail,33.96B
GRFS,"Grifols, S.A.",Healthcare,Drug Manufacturers - General,10.99B
CSTM,Constellium SE,Basic Materials,Aluminum,2.30B
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,25.79B
CMC,Commercial Metals Company,Basic Materials,Steel,3.46B
YPF,YPF Sociedad Anonima,Energy,Oil & Gas Integrated,2.89B
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,5.50B
LDI,"loanDepot, Inc.",Financial,Mortgage Finance,7.05B
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,25.07B
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,105.07B
TS,Tenaris S.A.,Energy,Oil & Gas Equipment & Services,13.76B
MGY,Magnolia Oil & Gas Corporation,Energy,Oil & Gas E&P,3.24B
ZION,"Zions Bancorporation, National Association",Financial,Banks - Regional,9.23B
TAL,TAL Education Group,Consumer Defensive,Education & Training Services,40.93B
H,Hyatt Hotels Corporation,Consumer Cyclical,Lodging,9.01B
L,Loews Corporation,Financial,Insurance - Property & Casualty,13.53B
PII,Polaris Inc.,Consumer Cyclical,Recreational Vehicles,8.68B
HTA,"Healthcare Trust of America, Inc.",Real Estate,REIT - Healthcare Facilities,6.08B
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,1418.57B
ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,15.09B
PS,"Pluralsight, Inc.",Technology,Software - Application,3.31B
EIX,Edison International,Utilities,Utilities - Regulated Electric,22.32B
FBP,First BanCorp.,Financial,Banks - Regional,2.57B
BSBR,Banco Santander (Brasil) S.A.,Financial,Banks - Regional,26.31B
MFGP,Micro Focus International plc,Technology,Software - Infrastructure,2.29B
AL,Air Lease Corporation,Industrials,Rental & Leasing Services,5.87B
NWG,NatWest Group plc,Financial,Banks - Diversified,31.22B
ATI,Allegheny Technologies Incorporated,Industrials,Metal Fabrication,2.68B
PGRE,"Paramount Group, Inc.",Real Estate,REIT - Office,2.22B
CRSR,"Corsair Gaming, Inc.",Technology,Computer Hardware,3.15B
ADNT,Adient plc,Consumer Cyclical,Auto Parts,3.78B
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1423.79B
SSNC,"SS&C Technologies Holdings, Inc.",Technology,Software - Application,17.86B
ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,4.89B
EBC,"Eastern Bankshares, Inc.",Financial,Banks - Regional,3.54B
CAR,"Avis Budget Group, Inc.",Industrials,Rental & Leasing Services,4.90B
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,46.39B
PRAH,"PRA Health Sciences, Inc.",Healthcare,Diagnostics & Research,9.38B
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,3.56B
CB,Chubb Limited,Financial,Insurance - Property & Casualty,76.89B
WW,"WW International, Inc.",Consumer Cyclical,Personal Services,2.48B
WDAY,"Workday, Inc.",Technology,Software - Application,63.05B
TRU,TransUnion,Industrials,Consulting Services,16.91B
MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,60.56B
YETI,"YETI Holdings, Inc.",Consumer Cyclical,Leisure,6.32B
BNTX,BioNTech SE,Healthcare,Biotechnology,25.80B
OCDX,Ortho Clinical Diagnostics Holdings plc,Healthcare,Diagnostics & Research,3.84B
VIR,"Vir Biotechnology, Inc.",Healthcare,Biotechnology,7.80B
ALLE,Allegion plc,Industrials,Security & Protection Services,10.51B
HZNP,Horizon Therapeutics Public Limited Company,Healthcare,Drug Manufacturers - General,20.41B
SVC,Service Properties Trust,Real Estate,REIT - Hotel & Motel,2.20B
SNV,Synovus Financial Corp.,Financial,Banks - Regional,7.13B
NG,NovaGold Resources Inc.,Basic Materials,Gold,2.93B
ARNC,Arconic Corporation,Industrials,Metal Fabrication,3.31B
URBN,"Urban Outfitters, Inc.",Consumer Cyclical,Apparel Retail,3.72B
CIEN,Ciena Corporation,Technology,Communication Equipment,8.56B
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,82.31B
FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,7.24B
TDC,Teradata Corporation,Technology,Information Technology Services,4.83B
WES,"Western Midstream Partners, LP",Energy,Oil & Gas Midstream,7.97B
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Diversified,29.03B
RDN,Radian Group Inc.,Financial,Insurance - Specialty,4.44B
ORCC,Owl Rock Capital Corporation,Financial,Credit Services,5.57B
JBL,Jabil Inc.,Technology,Electronic Components,7.23B
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,8.90B
LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,5.74B
HPP,"Hudson Pacific Properties, Inc.",Real Estate,REIT - Office,4.22B
KRC,Kilroy Realty Corporation,Real Estate,REIT - Office,7.95B
RCM,R1 RCM Inc.,Healthcare,Health Information Services,7.01B
TRQ,Turquoise Hill Resources Ltd.,Basic Materials,Copper,3.13B
CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,73.79B
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,27.94B
XRAY,DENTSPLY SIRONA Inc.,Healthcare,Medical Instruments & Supplies,13.86B
INTU,Intuit Inc.,Technology,Software - Application,109.56B
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,63.76B
EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,105.92B
BMRN,BioMarin Pharmaceutical Inc.,Healthcare,Biotechnology,14.37B
UPST,"Upstart Holdings, Inc.",Financial,Credit Services,4.66B
CHGG,"Chegg, Inc.",Consumer Defensive,Education & Training Services,12.88B
TWLO,Twilio Inc.,Communication Services,Internet Content & Information,63.90B
PAYX,"Paychex, Inc.",Industrials,Staffing & Employment Services,35.22B
ZS,"Zscaler, Inc.",Technology,Software - Infrastructure,25.63B
CMA,Comerica Incorporated,Financial,Banks - Regional,9.69B
IHRT,"iHeartMedia, Inc.",Communication Services,Broadcasting,2.28B
PLAN,"Anaplan, Inc.",Technology,Software - Infrastructure,8.57B
FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,5.26B
SMFG,"Sumitomo Mitsui Financial Group, Inc.",Financial,Banks - Diversified,51.89B
LEVI,Levi Strauss & Co.,Consumer Cyclical,Apparel Manufacturing,10.01B
ZTO,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,27.16B
SHC,Sotera Health Company,Healthcare,Diagnostics & Research,7.88B
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,34.78B
WTRG,"Essential Utilities, Inc.",Utilities,Utilities - Regulated Water,10.51B
TROX,Tronox Holdings plc,Basic Materials,Chemicals,2.62B
RP,"RealPage, Inc.",Technology,Software - Application,8.92B
DCP,"DCP Midstream, LP",Energy,Oil & Gas Midstream,5.29B
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,REIT - Hotel & Motel,2.85B
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,39.62B
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,29.46B
